分类,imageID,workName,authorName,dynasty,instName,公开版权
女,634aa09e-4070-11ed-9adc-c934f75048ef,真禅内印顿证虚凝法界金刚智经.三卷.明宣德三年经折装写本(中),沈度,明代,台北故宫博物院,是
女,6355e558-4070-11ed-9adc-c934f75048ef,蕉阴仕女图,文徵明,明代,台北故宫博物院,是
女,637564d2-4070-11ed-9adc-c934f75048ef,旧画扇面册　明东坡朝云,孔贞一,明代,台北故宫博物院,是
女,6378a1ce-4070-11ed-9adc-c934f75048ef,西厢记真本图册29帧,陈洪绶,明代,,否
女,6378cbcc-4070-11ed-9adc-c934f75048ef,西厢记真本图册29帧,陈洪绶,明代,,否
女,63791e60-4070-11ed-9adc-c934f75048ef,西厢记真本图册29帧,陈洪绶,明代,,否
女,637af6a4-4070-11ed-9adc-c934f75048ef,眷秋图,陈洪绶,明代,私人藏,否
女,63a24498-4070-11ed-9adc-c934f75048ef,瓶莲大士轴,徐灿,清代,台北故宫博物院,是
女,63a81314-4070-11ed-9adc-c934f75048ef,渠水又东枝，分南入华林－清山水楼台画册,金德瑛,清代,台北故宫博物院,是
女,63da50e0-4070-11ed-9adc-c934f75048ef,山水楼阁图,陈枚,清代,,否
女,63dad25e-4070-11ed-9adc-c934f75048ef,月曼清游图,陈枚,清代,故宫博物院,否
女,63dae988-4070-11ed-9adc-c934f75048ef,月曼清游图,陈枚,清代,故宫博物院,否
女,63db01de-4070-11ed-9adc-c934f75048ef,月曼清游图,陈枚,清代,故宫博物院,否
女,63dc9b0c-4070-11ed-9adc-c934f75048ef,红楼梦人物册页-002,喻兰,清代,上海博物馆,否
女,64111300-4070-11ed-9adc-c934f75048ef,探梅仕女图,费丹旭,清代,旅顺博物馆,否
女,64112c8c-4070-11ed-9adc-c934f75048ef,十二金钗图,费丹旭,清代,故宫博物院,否
女,641144e2-4070-11ed-9adc-c934f75048ef,十二金钗图,费丹旭,清代,故宫博物院,否
女,64115c84-4070-11ed-9adc-c934f75048ef,十二金钗图,费丹旭,清代,故宫博物院,否
女,6417a24c-4070-11ed-9adc-c934f75048ef,春宫图册.12帧.清.石城殷奇画册,殷奇,清代,波士顿艺术博物馆,否
女,641e1910-4070-11ed-9adc-c934f75048ef,人物屏-画册,任预,清代,上海博物馆,否
女,6421db90-4070-11ed-9adc-c934f75048ef,御制耕织图,爱新觉罗·玄烨,清代,哈佛大学,否
女,64261dea-4070-11ed-9adc-c934f75048ef,神仙故事图册,冷枚,清代,大英博物馆,是
女,64274eea-4070-11ed-9adc-c934f75048ef,冷枚白描罗汉.冷枚画.康煕56年,冷枚,清代,藏地不详,否
女,64279012-4070-11ed-9adc-c934f75048ef,十宫词图,冷枚,清代,,否
女,6427ad5e-4070-11ed-9adc-c934f75048ef,十宫词图,冷枚,清代,,否
女,6427d0fe-4070-11ed-9adc-c934f75048ef,十宫词图册,冷枚,清代,,否
女,6427f3d6-4070-11ed-9adc-c934f75048ef,十宫词图册,冷枚,清代,,否
女,6428e69c-4070-11ed-9adc-c934f75048ef,白描罗汉册　罗汉（九）,金廷标,清代,台北故宫博物院,是
女,64294560-4070-11ed-9adc-c934f75048ef,长至添线轴,金廷标,清代,台北故宫博物院,是
女,642a9be0-4070-11ed-9adc-c934f75048ef,绣线文殊大士像轴,裘王氏,清代,台北故宫博物院,是
女,642e26f2-4070-11ed-9adc-c934f75048ef,百苗图苗族生活图册,佚名,清代,,否
女,642ecc6a-4070-11ed-9adc-c934f75048ef,百苗图苗族生活图册,佚名,清代,,否
女,643253bc-4070-11ed-9adc-c934f75048ef,线描市井七十二行街头买卖巨幅图册-3,佚名,清代,,否
女,64340446-4070-11ed-9adc-c934f75048ef,线描市井七十二行街头买卖巨幅图册-3,佚名,清代,,否
女,6434bd64-4070-11ed-9adc-c934f75048ef,线描市井七十二行街头买卖巨幅图册-3,佚名,清代,,否
女,6435a45e-4070-11ed-9adc-c934f75048ef,历代帝王贵妃大臣朝服像(苏麻喇姑)朝服,佚名,清代,,否
女,6435f576-4070-11ed-9adc-c934f75048ef,升平乐事图册　白象花灯,佚名,清代,台北故宫博物院,是
女,64361aa6-4070-11ed-9adc-c934f75048ef,雍正十二美人图(胤禛美人图),佚名,清代,,否
女,64363220-4070-11ed-9adc-c934f75048ef,雍正十二美人图(胤禛美人图),佚名,清代,,否
女,6436526e-4070-11ed-9adc-c934f75048ef,雍正十二美人图(胤禛美人图),佚名,清代,,否
女,643fa01c-4070-11ed-9adc-c934f75048ef,大悲咒出相图册(上),佚名,清代,,否
女,643fc31c-4070-11ed-9adc-c934f75048ef,大悲咒出相图册(上),佚名,清代,,否
女,6440c352-4070-11ed-9adc-c934f75048ef,门神人物达官贵人图册,佚名,清代,,否
女,6441033a-4070-11ed-9adc-c934f75048ef,门神人物达官贵人图册,佚名,清代,,否
女,6441d6f2-4070-11ed-9adc-c934f75048ef,无款士女图轴,佚名,清代,台北故宫博物院,是
女,644526fe-4070-11ed-9adc-c934f75048ef,孝贤纯皇后朝服像,佚名,清代,,否
女,6445627c-4070-11ed-9adc-c934f75048ef,市景三十六行.白描图.19世纪,佚名,清代,,否
女,6445c73a-4070-11ed-9adc-c934f75048ef,市景三十六行.白描图.19世纪,佚名,清代,,否
女,6445e4b8-4070-11ed-9adc-c934f75048ef,市景三十六行.白描图.19世纪,佚名,清代,,否
女,644cf1fe-4070-11ed-9adc-c934f75048ef,佛画罗汉九长老像立轴,佚名,清代,,否
女,644de1b8-4070-11ed-9adc-c934f75048ef,西厢记,佚名,清代,弗利尔美术馆,否
女,644edc26-4070-11ed-9adc-c934f75048ef,各种名笺.265种.经折装.清末民初(二),佚名,清代,,否
女,6452e640-4070-11ed-9adc-c934f75048ef,百苗图传统乐器演奏彩绘本21帧,佚名,清代,,否
女,6452fda6-4070-11ed-9adc-c934f75048ef,百苗图传统乐器演奏彩绘本21帧,佚名,清代,,否
女,64531502-4070-11ed-9adc-c934f75048ef,百苗图传统乐器演奏彩绘本21帧,佚名,清代,,否
女,64532d3a-4070-11ed-9adc-c934f75048ef,百苗图传统乐器演奏彩绘本21帧,佚名,清代,,否
女,64534464-4070-11ed-9adc-c934f75048ef,百苗图传统乐器演奏彩绘本21帧,佚名,清代,,否
女,645496f2-4070-11ed-9adc-c934f75048ef,苗族瑶族生活全景图册45帧,佚名,清代,,否
女,64555c2c-4070-11ed-9adc-c934f75048ef,苗族瑶族生活全景图册45帧,佚名,清代,,否
女,64578dbc-4070-11ed-9adc-c934f75048ef,线描各类船只家具杂耍人物巨幅图册,佚名,清代,,否
女,6458efea-4070-11ed-9adc-c934f75048ef,线描各类船只家具杂耍人物巨幅图册,佚名,清代,,否
女,6461f52c-4070-11ed-9adc-c934f75048ef,顾绣五十三参图册.清初绣制,佚名,清代,故宫博物院,否
女,64630034-4070-11ed-9adc-c934f75048ef,白描街头买卖画册,佚名,清代,,否
女,6463b43e-4070-11ed-9adc-c934f75048ef,白描街头买卖画册,佚名,清代,,否
女,6464f7ea-4070-11ed-9adc-c934f75048ef,白描街头买卖画册,佚名,清代,,否
女,64659812-4070-11ed-9adc-c934f75048ef,白描街头买卖画册,佚名,清代,,否
女,64670490-4070-11ed-9adc-c934f75048ef,白描街头买卖画册,佚名,清代,,否
女,6467632c-4070-11ed-9adc-c934f75048ef,白描街头买卖画册,佚名,清代,,否
女,64683f22-4070-11ed-9adc-c934f75048ef,白描街头买卖画册,佚名,清代,,否
女,64688694-4070-11ed-9adc-c934f75048ef,白描街头买卖画册,佚名,清代,,否
女,646a348a-4070-11ed-9adc-c934f75048ef,白描街头买卖画册,佚名,清代,,否
女,646ac10c-4070-11ed-9adc-c934f75048ef,白描街头买卖画册,佚名,清代,,否
女,646b8db2-4070-11ed-9adc-c934f75048ef,白描街头买卖画册,佚名,清代,,否
女,646d2d34-4070-11ed-9adc-c934f75048ef,升平乐事图册.十二开,佚名,清代,台北故宫博物院,是
女,646d4a80-4070-11ed-9adc-c934f75048ef,升平乐事图册.十二开,佚名,清代,台北故宫博物院,是
女,646e77fc-4070-11ed-9adc-c934f75048ef,执瓶仕女图,佚名,清代,,否
女,646ef812-4070-11ed-9adc-c934f75048ef,百苗图黔苗图说(木孔恭摹本),佚名,清代,,否
女,646f6b3a-4070-11ed-9adc-c934f75048ef,百苗图黔苗图说(木孔恭摹本),佚名,清代,,否
女,64723176-4070-11ed-9adc-c934f75048ef,清代宫廷人物画册,佚名,清代,,否
女,64729454-4070-11ed-9adc-c934f75048ef,各种名笺.265种.经折装.清末民初(一),佚名,清代,,否
女,6475a680-4070-11ed-9adc-c934f75048ef,帝鉴图说彩绘本,佚名,清代,,否
女,6476167e-4070-11ed-9adc-c934f75048ef,线描宫庭神话人物形象巨幅图册,佚名,清代,,否
女,64766048-4070-11ed-9adc-c934f75048ef,线描宫庭神话人物形象巨幅图册,佚名,清代,,否
女,647709da-4070-11ed-9adc-c934f75048ef,线描宫庭神话人物形象巨幅图册,佚名,清代,,否
女,6477594e-4070-11ed-9adc-c934f75048ef,线描宫庭神话人物形象巨幅图册,佚名,清代,,否
女,6477adf4-4070-11ed-9adc-c934f75048ef,线描宫庭神话人物形象巨幅图册,佚名,清代,,否
女,6477f07a-4070-11ed-9adc-c934f75048ef,线描宫庭神话人物形象巨幅图册,佚名,清代,,否
女,6478775c-4070-11ed-9adc-c934f75048ef,线描宫庭神话人物形象巨幅图册,佚名,清代,,否
女,6478ec1e-4070-11ed-9adc-c934f75048ef,历代帝王贵妃大臣朝服像(贵妃),佚名,清代,,否
女,6479541a-4070-11ed-9adc-c934f75048ef,线描市井七十二行街头买卖巨幅图册-1,佚名,清代,,否
女,647a0a0e-4070-11ed-9adc-c934f75048ef,线描市井七十二行街头买卖巨幅图册-1,佚名,清代,,否
女,647a5e14-4070-11ed-9adc-c934f75048ef,线描市井七十二行街头买卖巨幅图册-1,佚名,清代,,否
女,647ae9d8-4070-11ed-9adc-c934f75048ef,线描市井七十二行街头买卖巨幅图册-1,佚名,清代,,否
女,647b2aec-4070-11ed-9adc-c934f75048ef,线描市井七十二行街头买卖巨幅图册-1,佚名,清代,,否
女,647be3ec-4070-11ed-9adc-c934f75048ef,线描市井七十二行街头买卖巨幅图册-1,佚名,清代,,否
女,647c0f98-4070-11ed-9adc-c934f75048ef,线描市井七十二行街头买卖巨幅图册-1,佚名,清代,,否
女,647e6ba8-4070-11ed-9adc-c934f75048ef,线描市井七十二行街头买卖巨幅图册-2,佚名,清代,,否
女,64816e70-4070-11ed-9adc-c934f75048ef,庭苑春色图,佚名,清代,私人藏,否
女,64823152-4070-11ed-9adc-c934f75048ef,职贡图巨幅彩绘册页第3册,佚名,清代,,否
女,648574a2-4070-11ed-9adc-c934f75048ef,京剧一百人物-鄧小姐,佚名,清代,大都会博物馆,是
女,648bd1d0-4070-11ed-9adc-c934f75048ef,线描神话.刑罚.官场.人物巨幅图册-4,佚名,清代,,否
女,648c92fa-4070-11ed-9adc-c934f75048ef,燕寝怡情12帧清内府设色库绢本,佚名,清代,,否
女,648f74d4-4070-11ed-9adc-c934f75048ef,历代帝王贵妃大臣朝服像(孝淑睿皇后),佚名,清代,,否
女,649417dc-4070-11ed-9adc-c934f75048ef,京剧一百人物像-石小姐,佚名,清代,大都会博物馆,是
女,6494d438-4070-11ed-9adc-c934f75048ef,线描市井各色人物形象外销巨幅图册-6,佚名,清代,,否
女,6495052a-4070-11ed-9adc-c934f75048ef,线描市井各色人物形象外销巨幅图册-6,佚名,清代,,否
女,64955426-4070-11ed-9adc-c934f75048ef,线描市井各色人物形象外销巨幅图册-6,佚名,清代,,否
女,6495a9b2-4070-11ed-9adc-c934f75048ef,线描市井各色人物形象外销巨幅图册-6,佚名,清代,,否
女,6495c744-4070-11ed-9adc-c934f75048ef,线描市井各色人物形象外销巨幅图册-6,佚名,清代,,否
女,6495f7be-4070-11ed-9adc-c934f75048ef,线描市井各色人物形象外销巨幅图册-6,佚名,清代,,否
女,64962108-4070-11ed-9adc-c934f75048ef,线描市井各色人物形象外销巨幅图册-6,佚名,清代,,否
女,64964c14-4070-11ed-9adc-c934f75048ef,线描市井各色人物形象外销巨幅图册-6,佚名,清代,,否
女,64968db4-4070-11ed-9adc-c934f75048ef,线描市井各色人物形象外销巨幅图册-6,佚名,清代,,否
女,6496d5bc-4070-11ed-9adc-c934f75048ef,线描市井各色人物形象外销巨幅图册-6,佚名,清代,,否
