分类,imageID,workName,authorName,dynasty,instName,公开版权
女,616368f6-4070-11ed-9adc-c934f75048ef,渔乐图,佚名,宋代,,否
女,61637d14-4070-11ed-9adc-c934f75048ef,盥手观花图,佚名,宋代,天津博物馆,否
女,616408a6-4070-11ed-9adc-c934f75048ef,香月潮音图,佚名,元代,辽宁省博物馆,否
女,616459a0-4070-11ed-9adc-c934f75048ef,七夕乞巧图,佚名,宋代,台北故宫博物院,是
女,616a3c1c-4070-11ed-9adc-c934f75048ef,梵像卷,张胜温,宋代,台北故宫博物院,是
女,616b0778-4070-11ed-9adc-c934f75048ef,雪景,马远,宋代,台北故宫博物院,是
女,61758450-4070-11ed-9adc-c934f75048ef,丝纶图轴,刘松年,宋代,台北故宫博物院,是
女,61813854-4070-11ed-9adc-c934f75048ef,孝经图,李公麟,宋代,大都会博物馆,是
女,61821d32-4070-11ed-9adc-c934f75048ef,闺秀诗评图,盛师颜,宋代,弗利尔美术馆,否
女,6188ed10-4070-11ed-9adc-c934f75048ef,六朝前秦苏蕙璇玑图卷,朱淑贞,宋代,台北故宫博物院,是
女,61940ef2-4070-11ed-9adc-c934f75048ef,仿周昉宫妓调琴图,佚名,宋代,纳尔逊 - 阿特金斯艺术博物馆,否
女,619a8f5c-4070-11ed-9adc-c934f75048ef,摹张萱捣练图,赵佶(传),宋代,波士顿艺术博物馆,否
女,61a0fd1a-4070-11ed-9adc-c934f75048ef,九歌图,张敦礼,宋代,波士顿艺术博物馆,否
女,61a6f0d0-4070-11ed-9adc-c934f75048ef,飞阁延风图,王诜,宋代,故宫博物院,否
女,61db71e8-4070-11ed-9adc-c934f75048ef,姨母育佛图,王振鹏,元代,波士顿艺术博物馆,否
女,61dba794-4070-11ed-9adc-c934f75048ef,柯九思写豳风图卷,王振鹏,元代,台北故宫博物院,是
女,61e220ba-4070-11ed-9adc-c934f75048ef,代后半身像册　元世祖后；元顺宗后,佚名,元代,台北故宫博物院,是
女,61e61c6a-4070-11ed-9adc-c934f75048ef,游行仕女图,佚名,元代,弗利尔美术馆,否
女,61e8148e-4070-11ed-9adc-c934f75048ef,白描仙人图,佚名,元代,弗利尔美术馆,否
女,61e8447c-4070-11ed-9adc-c934f75048ef,菩萨像立轴,佚名,元代,,否
女,61e85c6e-4070-11ed-9adc-c934f75048ef,卢媚娘像,佚名,元代,弗利尔美术馆,否
女,61e8d6ee-4070-11ed-9adc-c934f75048ef,F1954.20-FS-8011,佚名,元代,弗利尔美术馆,否
女,61e8fa48-4070-11ed-9adc-c934f75048ef,F1954.20-FS-8011,佚名,元代,弗利尔美术馆,否
女,61e93a4e-4070-11ed-9adc-c934f75048ef,F1954.20-FS-8011,佚名,元代,弗利尔美术馆,否
女,61e97482-4070-11ed-9adc-c934f75048ef,F1954.20-FS-8011,佚名,元代,弗利尔美术馆,否
女,61e9b42e-4070-11ed-9adc-c934f75048ef,F1954.20-FS-8011,佚名,元代,弗利尔美术馆,否
女,61ea8eee-4070-11ed-9adc-c934f75048ef,说经图轴,佚名,元代,台北故宫博物院,是
女,61f06486-4070-11ed-9adc-c934f75048ef,观音座像,佚名,元代,,否
女,61f09bb8-4070-11ed-9adc-c934f75048ef,释迦三尊像,佚名,元代,克利夫兰艺术博物馆,是
女,6205344c-4070-11ed-9adc-c934f75048ef,吹箫仕女图,赵孟頫,元代,台北故宫博物院,是
女,62078080-4070-11ed-9adc-c934f75048ef,行书般若波萝蜜多心经册,赵孟頫,元代,辽宁省博物馆,否
女,62142be6-4070-11ed-9adc-c934f75048ef,竹林仙子图,刘贯道,元代,台北故宫博物院,是
女,62184e7e-4070-11ed-9adc-c934f75048ef,招凉仕女图,钱选,元代,台北故宫博物院,是
女,621d4500-4070-11ed-9adc-c934f75048ef,扇页04,周思聪,近现代,,否
女,621d6b98-4070-11ed-9adc-c934f75048ef,扇页09,周思聪,近现代,,否
女,621d8182-4070-11ed-9adc-c934f75048ef,持花少女图轴,周思聪,近现代,,否
女,621db436-4070-11ed-9adc-c934f75048ef,册页,周思聪,近现代,,否
女,621dd786-4070-11ed-9adc-c934f75048ef,册页,周思聪,近现代,,否
女,621df64e-4070-11ed-9adc-c934f75048ef,册页,周思聪,近现代,,否
女,621e0dfa-4070-11ed-9adc-c934f75048ef,册页,周思聪,近现代,,否
女,621e74c0-4070-11ed-9adc-c934f75048ef,白描观音立轴,爱新觉罗·溥儒,近现代,,否
女,6220b492-4070-11ed-9adc-c934f75048ef,仕女图,张大千,近现代,,否
女,62213462-4070-11ed-9adc-c934f75048ef,仕女图立轴,徐操,近现代,,否
女,62283ab4-4070-11ed-9adc-c934f75048ef,仿唐寅醉妃图,郭曾惠,近现代,大英博物馆,是
女,625b1470-4070-11ed-9adc-c934f75048ef,临戴进谢安东山图,沈周,明代,上海博物馆,否
女,625f5fd0-4070-11ed-9adc-c934f75048ef,云华惜花图,陆灿、薛䲖,明代,故宫博物院,否
女,6268c750-4070-11ed-9adc-c934f75048ef,星宿图,佚名,宋代,台北故宫博物院,是
